classname,m1,m2,m3,m4,m5,m6,m7
bentley,1.0,0.5749736776278742,0.03000569903601092,0.3493520766312898,0.7212816319098697,0.5233676953925811,0.6718022514149524
bentley,0.3002107402067319,0.23615684857110913,0.038936993085993986,0.021646948506241753,0.7154811257508059,0.6941458967690737,0.8058144445338546
bentley,0.7590955886243769,0.8791382121399237,1.0,0.8443111641782763,0.0,0.0,0.0
bentley,0.07635334941693775,0.05885590292523558,0.00024167345283015228,0.0005445399825088293,0.7160405788692772,0.7034149105700954,0.8067183847918542
bentley,0.04025063171689893,0.02797754534603635,8.778590695206093e-06,7.350802023834217e-05,0.7160404234870953,0.703321026617676,0.8067178991621871
bentley,0.11475591932229455,0.04937306441145702,0.003296311168495785,0.0049215279828155245,0.7160323393850019,0.7042785754887205,0.8066489252417411
bentley,0.6484683863103134,0.7224460041516528,0.17951881729654748,0.11788990533476089,0.7024662484350901,0.6213046090758892,0.7697133701752028
bentley,0.500100796743595,0.47060035428588054,0.18058458211447204,0.10096441468527313,0.7029620163412619,0.6405926712323299,0.8077198735080349
bentley,0.5935937726292709,0.5576232229057637,0.6298633998336395,0.4891784903831865,0.4588689326627831,0.37502863988256263,0.9712756036562826
bentley,0.07627335607813873,0.03200579888690726,0.0001582407185158427,7.435808216345296e-05,0.7160404240045297,0.7032991687649826,0.8067179399575396
bentley,0.025494683696502617,0.012021163574714252,0.008870040947646766,0.006557656368041516,0.7160715825761373,0.7037817339764364,0.806571669695635
bentley,0.16315705367401143,0.11256263430162529,1.90744954623333e-06,3.31686375606406e-05,0.7160404203430036,0.7033059602666946,0.8067178985129755
bentley,0.008258609936268776,0.0,2.1535405584040257e-05,8.292303423071327e-05,0.716040423255891,0.7033100565654077,0.8067179141542639
bentley,0.732107971430241,1.0,0.07213914560252221,0.21652074602331461,0.7410767325597207,0.8340296359603216,0.7794048027057707
bentley,0.0,0.005829821202926544,0.0,0.0,0.7160404209507902,0.7033081553796713,0.8067178982504457
bentley,0.5229142709131689,0.15210254875089158,0.06662868076738898,0.059250606642220885,0.718739402492527,0.6824082951455734,0.8160315794302304
bentley,0.07600788252253218,0.049689744433493804,0.00829208849262485,0.010245708437071083,0.7161312593156952,0.7053291229215524,0.8067140958146647
bentley,0.46618185935927925,0.3807880550029751,0.25502480813952677,0.2268498243193992,0.7355328913309986,0.6849491397421122,1.0
bentley,0.059002083255012674,0.030687006854579674,5.665920083085739e-05,1.6909642776491664e-05,0.7160404220208983,0.7033146226934562,0.8067179026276702
bentley,0.43497098452494265,0.3606302167796174,0.1889669252969248,0.024965785113305994,0.716794610849957,0.6953329545163929,0.812542241865268
bentley,0.19775396202594947,0.10963260197460636,0.08796214389089577,1.0,1.0,1.0,0.8763406059342819
bentley,0.09938075577071397,0.011766645689257848,0.0016635344701990428,0.00023737826353420165,0.7160405009547406,0.703331334545582,0.8067184530980892
airbnb,0.11211632841316864,1.0,1.7320318674430167e-05,0.0006150168686374522,0.11957531669539916,0.04014428661687445,0.1475592892041448
airbnb,1.0,0.28641884656390354,1.0,0.8683416590968528,0.8403762874438929,0.8892369695805862,0.7013948081088414
airbnb,0.23207239449153458,0.02473250237548681,0.005180458172109169,0.15348497337760678,0.1234828573989051,0.0,0.15094201209188096
airbnb,0.13100753094631137,0.0033297230564930482,0.0053789081843687485,0.022810564963484173,0.11981539798900034,0.04681662014561283,0.1451410797416852
airbnb,0.34087771645619114,0.00023846039627253165,0.11210034590459206,0.543232848075575,0.0,0.03843322157585817,0.0
airbnb,0.0933448414858577,0.7906366622028885,1.9353543491285602e-05,0.0017444196385262758,0.1195751353427761,0.03979975926142573,0.14757730939035482
airbnb,0.16636749587681715,0.004309699320407391,0.008164975270538166,0.04267804334716118,0.12032558371531016,0.04958817332943089,0.1476932364133023
airbnb,0.14435989146539166,0.10037675312028822,0.06281281142610655,0.06120122458548243,0.1200029254952678,0.06954152978110775,0.02694420821374337
airbnb,0.9818669827698793,0.2762100798800573,0.9778707475030806,1.0,1.0,1.0,1.0
airbnb,0.0,0.0,0.0,0.0007701786147734451,0.1195757869784227,0.044289436584343825,0.14755930455740293
airbnb,0.018841563855515178,0.23546259907864178,2.1041825464489276e-06,0.0,0.11957563052352901,0.04282539130670495,0.14755932919577566
air-jordan,0.5006938785996434,0.031155441870896732,0.2100766776038833,0.19421727785307144,0.043061074824914024,0.9566724433919223,0.008558116594576951
air-jordan,0.45789565714990144,0.07092224956373842,0.16571331851638355,0.14559972937792112,0.02385958051128219,0.9554976372276575,0.017541172622831357
air-jordan,0.13566881893225718,0.0,0.009814678434197668,0.043817618742779056,0.0001398817051882277,1.0,0.0
